trial,severity,mse,active_ingredient,year,spray,location,state
166,1.3,0.18811,pyra_metc,2010,2,ITAARA,RS
167,1.3,7.9794,pyra_metc,2010,2,CAPÃO DO LEÃO,RS
94,1.3,0.06302,tebu,2009,3,ENTRE RIOS,PR
2,1.3,9.83279,tebu,2005,2,LONDRINA,PR
179,1.3,6.71692,trif_prot,2011,2,PEDRA PRETA,MT
212,1.4,0.10999,tebu,2013,3,SANTO ANTONIO DE GOIAS,GO
16,1.4,15.18289,tebu,2005,2,JABOTICABAL,SP
183,1.4,16.55883,pico_cypr,2011,2,LONDRINA,PR
159,1.4,44.1573,azox_cypr,2010,NA,GOIÂNIA,GO
167,1.4,7.9794,cypr,2010,2,CAPÃO DO LEÃO,RS
87,1.4,14.86689,azox_cypr,2008,NA,SÃO DESIDÉRIO,BA
81,1.5,1.45756,tebu,2008,2,LONDRINA,PR
117,1.5,3.09707,azox_cypr,2009,2,CHAPADÃO DO SUL,MS
166,1.5,0.18811,azox_cypr,2010,2,ITAARA,RS
167,1.5,7.9794,pico_cypr,2010,2,CAPÃO DO LEÃO,RS
179,1.5,6.71692,pyra_metc,2011,2,PEDRA PRETA,MT
182,1.5,0.48713,pico_cypr,2011,2,GUARAPUAVA,PR
183,1.5,16.55883,pyra_metc,2011,2,LONDRINA,PR
183,1.5,16.55883,azox_cypr,2011,2,LONDRINA,PR
194,1.5,33.8684,pyra_epox,2012,2,JATAÍ,GO
34,1.5,4.46524,tebu,2006,2,LONDRINA,PR
122,1.5,5.5159,azox_cypr,2009,3,GOIÂNIA,GO
53,1.6,2.10572,tebu,2007,2,DOURADOS,MS
70,1.6,5.52171,azox_cypr,2007,2,ALVORADA,TO
87,1.6,14.86689,pico_cypr,2008,NA,SÃO DESIDÉRIO,BA
116,1.6,1.52843,pyra_metc,2009,2,PONTA PORÃ,MS
158,1.6,7.43021,pico_cypr,2010,NA,SENADOR CANEDO,GO
179,1.6,6.71692,cypr,2011,2,PEDRA PRETA,MT
220,1.6,43.27491,trif_prot,2013,2,CHAPADÃO DO SUL,MS
14,1.6,55.84982,tebu,2005,2,PATO BRANCO,PR
162,1.7,20.24685,pyra_metc,2010,3,ENTRE RIOS,PR
159,1.7,44.1573,pyra_epox,2010,NA,GOIÂNIA,GO
81,1.8,1.45756,azox_cypr,2008,2,LONDRINA,PR
128,1.8,11.68611,azox_cypr,2009,3,UBERABA,MG
163,1.8,4.22077,pico_cypr,2010,2,JATAÍ,GO
163,1.8,4.22077,azox_cypr,2010,2,JATAÍ,GO
53,1.8,2.10572,cypr,2007,2,DOURADOS,MS
125,1.8,2.18833,trif_prot,2009,3,LONDRINA,PR
78,1.9,2.17532,azox_cypr,2008,2,TAMARANA,PR
89,1.9,0.25974,pico_cypr,2009,3,TANGARÁ DA SERRA,MT
89,1.9,0.25974,pyra_epox,2009,3,TANGARÁ DA SERRA,MT
166,1.9,0.18811,pyra_epox,2010,2,ITAARA,RS
14,1.9,55.84982,azox_cypr,2005,2,PATO BRANCO,PR
81,1.9,1.45756,pico_cypr,2008,2,LONDRINA,PR
70,1.9,5.52171,tebu,2007,2,ALVORADA,TO
5,2,7.39678,tebu,2005,2,RONDONÓPOLIS,MT
67,2,20.42879,tebu,2007,2,UBERABA,MG
92,2,76.64312,azox_cypr,2009,2,CHAPADÃO DO SUL,MS
114,2,0.20099,pyra_metc,2009,3,TANGARÁ DA SERRA,MT
119,2,2.8757,trif_prot,2009,3,ENTRE RIOS,PR
182,2,0.48713,pyra_metc,2011,2,GUARAPUAVA,PR
189,2,2.98095,trif_prot,2011,2,PASSO FUNDO,RS
204,2,10.64722,trif_prot,2012,3,SENADOR CANEDO,GO
207,2,0.32639,trif_prot,2012,2,GUARAPUAVA,PR
